hotel_name,hotel_class,hotel_room_price,ta_rating,ta_location,ta_cleanliness,ta_service,ta_value,review_count,url
Express Inn Osmena,3.0,0,3.5,4.0,0,0,0,6,/Hotel_Review-g298460-d15043255-Reviews-Express_Inn_Osmena-Cebu_City_Cebu_Island_Visayas.html
Cebu Guest Inn,2.0,0,4.5,4.0,5.0,4.5,5.0,14,/Hotel_Review-g298460-d7389367-Reviews-Cebu_Guest_Inn-Cebu_City_Cebu_Island_Visayas.html
Capitol Central Hotel and Suites,3.0,"1,046",3.5,4.0,3.5,4.0,4.0,148,/Hotel_Review-g298460-d5849242-Reviews-Capitol_Central_Hotel_and_Suites-Cebu_City_Cebu_Island_Visayas.html
Citi Circle Guesthouse Hostel,3.0,0,0,0,0,0,0,3,/Hotel_Review-g298460-d13393667-Reviews-Citi_Circle_Guesthouse_Hostel-Cebu_City_Cebu_Island_Visayas.html
Hotel Fortuna,3.0,0,3.5,4.0,4.0,4.0,4.0,66,/Hotel_Review-g298460-d736324-Reviews-Hotel_Fortuna-Cebu_City_Cebu_Island_Visayas.html
Amethyst Boutique Hotel,3.0,0,5.0,0,0,0,0,4,/Hotel_Review-g298460-d15785351-Reviews-Amethyst_Boutique_Hotel-Cebu_City_Cebu_Island_Visayas.html
Le Village Hostel Cebu,2.0,0,4.0,4.0,3.5,4.0,4.0,112,/Hotel_Review-g298460-d7596144-Reviews-Le_Village_Hostel_Cebu-Cebu_City_Cebu_Island_Visayas.html
Asia Light Hotel,3.0,0,3.5,0,0,0,0,2,/Hotel_Review-g298460-d12823545-Reviews-Asia_Light_Hotel-Cebu_City_Cebu_Island_Visayas.html
La Gloria Residence Inn,3.0,0,3.0,3.5,4.0,3.5,4.0,0,/Hotel_Review-g298460-d3244958-Reviews-La_Gloria_Residence_Inn-Cebu_City_Cebu_Island_Visayas.html
Hostel Seven Cebu,0,0,4.0,5.0,4.0,3.5,0,26,/Hotel_Review-g298460-d12811813-Reviews-Hostel_Seven_Cebu-Cebu_City_Cebu_Island_Visayas.html
Quest Serviced Residences,3.0,0,5.0,5.0,5.0,4.5,4.0,5,/Hotel_Review-g298460-d15204645-Reviews-Quest_Serviced_Residences-Cebu_City_Cebu_Island_Visayas.html
HappyNest Hostel,2.0,0,5.0,5.0,5.0,5.0,0,4,/Hotel_Review-g298460-d16814844-Reviews-HappyNest_Hostel-Cebu_City_Cebu_Island_Visayas.html
"Robe""s Pension House",1.0,0,4.0,4.0,4.0,3.5,4.0,92,/Hotel_Review-g298460-d2623752-Reviews-Robe_s_Pension_House-Cebu_City_Cebu_Island_Visayas.html
